公告,#genre#
CCTV3,http://121.226.92.73:4022/rtp/239.49.8.74:8000$LR•IPV4『线路29』
CCTV3,http://114.228.33.206:8095/rtp/239.49.8.74:8000$LR•IPV4『线路30』
CCTV3,http://115.220.140.122:8888/rtp/233.50.201.196:5140$LR•IPV4『线路31』
CCTV3,http://183.184.43.254:8001/rtp/226.0.2.208:9576$LR•IPV4『线路32』
CCTV3,http://221.222.79.96:9999/rtp/239.3.1.172:8001$LR•IPV4『线路33』
CCTV3,http://171.117.109.106:89/rtp/226.0.2.208:9576$LR•IPV4『线路34』
CCTV3,http://125.113.56.15:8001/rtp/233.50.201.196:5140$LR•IPV4『线路35』
CCTV3,http://123.120.7.139:4022/rtp/239.3.1.172:8001$LR•IPV4『线路36』
CCTV3,http://182.123.209.199:12345/rtp/225.1.4.158:1194$LR•IPV4『线路37』
CCTV3,http://221.232.41.227:8888/rtp/239.69.1.122:10370$LR•IPV4『线路38』
CCTV3,http://114.248.6.123:8888/rtp/239.3.1.172:8001$LR•IPV4『线路39』
CCTV3,http://117.86.48.47:7777/rtp/239.49.8.74:8000$LR•IPV4『线路40』
CCTV3,http://183.164.237.101:8888/rtp/238.1.78.170:7232$LR•IPV4『线路41』
CCTV4,http://60.176.87.174:8888/rtp/233.50.200.101:5140$LR•IPV4『线路1』
CCTV4,http://114.238.59.115:4000/rtp/239.49.8.51:9806$LR•IPV4『线路2』
CCTV4,http://113.66.40.167:10000/rtp/239.77.0.78:5146$LR•IPV4『线路3』
CCTV4,http://113.66.40.167:10000/rtp/239.77.1.163:5146$LR•IPV4『线路4』
CCTV4,http://113.66.40.167:10000/rtp/239.77.1.166:5146$LR•IPV4『线路5』
CCTV4,http://112.66.99.188:8888/rtp/239.253.64.196:5140$LR•IPV4『线路6』
CCTV4,http://119.135.192.194:10000/rtp/239.77.0.78:5146$LR•IPV4『线路7』
CCTV4,http://119.135.192.194:10000/rtp/239.77.1.163:5146$LR•IPV4『线路8』
CCTV4,http://119.135.192.194:10000/rtp/239.77.1.166:5146$LR•IPV4『线路9』
CCTV4,http://183.30.201.5:10002/rtp/239.77.0.78:5146$LR•IPV4『线路10』
CCTV4,http://183.30.201.5:10002/rtp/239.77.1.163:5146$LR•IPV4『线路11』
CCTV4,http://183.30.201.5:10002/rtp/239.77.1.166:5146$LR•IPV4『线路12』
CCTV4,http://115.171.216.84:4000/rtp/225.1.8.4:8092$LR•IPV4『线路13』
